"tu gestisci --> Condizionale Presente","tu gestiresti"
"noi spediamo --> Condizionale Presente","noi spediremmo"
"lui fa --> Condizionale Presente","lui farebbe"
"voi state --> Condizionale Presente","voi stareste"
"loro(m) comprendono --> Condizionale Presente","loro(m) comprenderebbero"
"voi studiate --> Condizionale Presente","voi studiereste"
"voi tornate --> Condizionale Presente","voi tornereste"
"io agisco --> Condizionale Presente","io agirei"
"lei vive --> Condizionale Presente","lei vivrebbe"
"noi individuiamo --> Condizionale Presente","noi individueremmo"
"io sento --> Condizionale Presente","io sentirei"
"loro(m) salvano --> Condizionale Presente","loro(m) salverebbero"
"loro(m) funzionano --> Condizionale Presente","loro(m) funzionerebbero"
"noi guidiamo --> Condizionale Presente","noi guideremmo"
"tu riconosci --> Condizionale Presente","tu riconosceresti"
"tu ricordi --> Condizionale Presente","tu ricorderesti"
"tu incoraggi --> Condizionale Presente","tu incoraggeresti"
"loro(f) appaiono --> Condizionale Presente","loro(f) apparirebbero"
"lei include --> Condizionale Presente","lei includerebbe"
"loro(f) sostituiscono --> Condizionale Presente","loro(f) sostituirebbero"
"loro(f) trovano --> Condizionale Presente","loro(f) troverebbero"
"loro(m) seguono --> Condizionale Presente","loro(m) seguirebbero"
"io corro --> Condizionale Presente","io correrei"
"loro(f) esprimono --> Condizionale Presente","loro(f) esprimerebbero"
"voi incontrate --> Condizionale Presente","voi incontrereste"
"lei scrive --> Condizionale Presente","lei scriverebbe"
"io assicuro --> Condizionale Presente","io assicurerei"
"noi assumiamo --> Condizionale Presente","noi assumeremmo"
"voi piacete --> Condizionale Presente","voi piacereste"
"noi apriamo --> Condizionale Presente","noi apriremmo"
"tu dimentichi --> Condizionale Presente","tu dimenticheresti"
"lui dimostra --> Condizionale Presente","lui dimostrerebbe"
"lui rispetta --> Condizionale Presente","lui rispetterebbe"
"tu vai --> Condizionale Presente","tu andresti"
"io porto --> Condizionale Presente","io porterei"
"lei aggiunge --> Condizionale Presente","lei aggiungerebbe"
"voi verificate --> Condizionale Presente","voi verifichereste"
"loro(m) si chiedono --> Condizionale Presente","loro(m) si chiederebbero"
"loro(m) eliminano --> Condizionale Presente","loro(m) eliminerebbero"
"tu abiti --> Condizionale Presente","tu abiteresti"
"io cresco --> Condizionale Presente","io crescerei"
"noi valutiamo --> Condizionale Presente","noi valuteremmo"
"io controllo --> Condizionale Presente","io controllerei"
"noi capiamo --> Condizionale Presente","noi capiremmo"
"lei muore --> Condizionale Presente","lei morirebbe"
"noi giochiamo --> Condizionale Presente","noi giocheremmo"
"lui balla --> Condizionale Presente","lui ballerebbe"
"voi accedete --> Condizionale Presente","voi accedereste"
"lui difende --> Condizionale Presente","lui difenderebbe"
"tu definisci --> Condizionale Presente","tu definiresti"
"loro(m) prendono --> Condizionale Presente","loro(m) prenderebbero"
"io servo --> Condizionale Presente","io servirei"
"loro(f) attuano --> Condizionale Presente","loro(f) attuerebbero"
"loro(f) si sentono --> Condizionale Presente","loro(f) si sentirebbero"
"lei inizia --> Condizionale Presente","lei inizierebbe"
"loro(m) leggono --> Condizionale Presente","loro(m) leggerebbero"
"loro(f) acquistano --> Condizionale Presente","loro(f) acquisterebbero"
"io salgo --> Condizionale Presente","io salirei"
"loro(m) si sièdono/èggono --> Condizionale Presente","loro(m) si sederebbero/iederebbero"
"lei si diverte --> Condizionale Presente","lei si divertirebbe"
"loro(m) immaginano --> Condizionale Presente","loro(m) immaginerebbero"
"lui sceglie --> Condizionale Presente","lui sceglierebbe"
"voi bevete --> Condizionale Presente","voi berreste"
"lui parla --> Condizionale Presente","lui parlerebbe"
"voi combattete --> Condizionale Presente","voi combattereste"
"voi svolgete --> Condizionale Presente","voi svolgereste"
"tu rendi --> Condizionale Presente","tu renderesti"
"loro(m) si innamorano --> Condizionale Presente","loro(m) si innamorerebbero"
"loro(m) accettano --> Condizionale Presente","loro(m) accetterebbero"
"loro(f) devono/ebbono --> Condizionale Presente","loro(f) dovrebbero"
"loro(m) ridono --> Condizionale Presente","loro(m) riderebbero"
"io mangio --> Condizionale Presente","io mangerei"
"io divento --> Condizionale Presente","io diventerei"
"noi ci fermiamo --> Condizionale Presente","noi ci fermeremmo"
"voi effettuate --> Condizionale Presente","voi effettuereste"
"lei presenta --> Condizionale Presente","lei presenterebbe"
"io parto --> Condizionale Presente","io partirei"
"tu esamini --> Condizionale Presente","tu esamineresti"
"lei risponde --> Condizionale Presente","lei risponderebbe"
"voi perdete --> Condizionale Presente","voi perdereste"
"lei nasconde --> Condizionale Presente","lei nasconderebbe"
"lui affronta --> Condizionale Presente","lui affronterebbe"
"io lavoro --> Condizionale Presente","io lavorerei"
"io rafforzo --> Condizionale Presente","io rafforzerei"
"voi superate --> Condizionale Presente","voi superereste"
"tu poni --> Condizionale Presente","tu porresti"
"loro(f) raggiungono --> Condizionale Presente","loro(f) raggiungerebbero"
"lei salta --> Condizionale Presente","lei salterebbe"
"loro(m) coprono --> Condizionale Presente","loro(m) coprirebbero"
"loro(f) si chiamano --> Condizionale Presente","loro(f) si chiamerebbero"
"loro(m) partecipano --> Condizionale Presente","loro(m) parteciperebbero"
"lui modifica --> Condizionale Presente","lui modificherebbe"
"loro(f) cadono --> Condizionale Presente","loro(f) cadrebbero"
"io dormo --> Condizionale Presente","io dormirei"
"lui indica --> Condizionale Presente","lui indicherebbe"
"voi comprate --> Condizionale Presente","voi comprereste"
"lui recupera --> Condizionale Presente","lui recupererebbe"
"loro(m) visitano --> Condizionale Presente","loro(m) visiterebbero"
"tu garantisci --> Condizionale Presente","tu garantiresti"
"lei pulisce --> Condizionale Presente","lei pulirebbe"
"tu contribuisci --> Condizionale Presente","tu contribuiresti"
"tu finisci --> Condizionale Presente","tu finiresti"
"noi scendiamo --> Condizionale Presente","noi scenderemmo"
"loro(f) inviano --> Condizionale Presente","loro(f) invierebbero"
"loro(m) si pettinano --> Condizionale Presente","loro(m) si pettinerebbero"
"voi provate --> Condizionale Presente","voi provereste"
"voi tenete --> Condizionale Presente","voi terreste"
"voi adottate --> Condizionale Presente","voi adottereste"
"lui sostiene --> Condizionale Presente","lui sosterrebbe"
"tu distruggi --> Condizionale Presente","tu distruggeresti"
"voi organizzate --> Condizionale Presente","voi organizzereste"
"voi spegnete --> Condizionale Presente","voi spegnereste"
"voi passate --> Condizionale Presente","voi passereste"
"loro(m) conoscono --> Condizionale Presente","loro(m) conoscerebbero"
"io miglioro --> Condizionale Presente","io migliorerei"
"io smetto --> Condizionale Presente","io smetterei"
"loro(f) viaggiano --> Condizionale Presente","loro(f) viaggerebbero"
"voi sparate --> Condizionale Presente","voi sparereste"
"tu aspetti --> Condizionale Presente","tu aspetteresti"
"voi favorite --> Condizionale Presente","voi favorireste"
"loro(m) si vestono --> Condizionale Presente","loro(m) si vestirebbero"
"loro(m) spiegano --> Condizionale Presente","loro(m) spiegherebbero"
"tu sei --> Condizionale Presente","tu saresti"
"loro(m) si sbrigano --> Condizionale Presente","loro(m) si sbrigherebbero"
"voi vi accomodate --> Condizionale Presente","voi vi accomodereste"
"voi imparate --> Condizionale Presente","voi imparereste"
"loro(f) utilizzano --> Condizionale Presente","loro(f) utilizzerebbero"
"io scarico --> Condizionale Presente","io scaricherei"
"voi promuovete --> Condizionale Presente","voi promuovereste"
"voi amate --> Condizionale Presente","voi amereste"
"voi offrite --> Condizionale Presente","voi offrireste"
"noi proteggiamo --> Condizionale Presente","noi proteggeremmo"
"lui entra --> Condizionale Presente","lui entrerebbe"
"loro(f) ringraziano --> Condizionale Presente","loro(f) ringrazierebbero"
"voi usate --> Condizionale Presente","voi usereste"
"loro(f) identificano --> Condizionale Presente","loro(f) identificherebbero"
"loro(m) sembrano --> Condizionale Presente","loro(m) sembrerebbero"
"lui sopravvive --> Condizionale Presente","lui sopravvivrebbe"
"lui finanzia --> Condizionale Presente","lui finanzierebbe"
"noi uccidiamo --> Condizionale Presente","noi uccideremmo"
"tu mostri --> Condizionale Presente","tu mostreresti"
"lui comincia --> Condizionale Presente","lui comincerebbe"
"noi costruiamo --> Condizionale Presente","noi costruiremmo"
"lui vuole --> Condizionale Presente","lui vorrebbe"
"loro(f) prevengono --> Condizionale Presente","loro(f) preverrebbero"
"tu ottieni --> Condizionale Presente","tu otterresti"
"loro(f) cambiano --> Condizionale Presente","loro(f) cambierebbero"
"lui vende --> Condizionale Presente","lui venderebbe"
"lui tace --> Condizionale Presente","lui tacerebbe"
"tu canti --> Condizionale Presente","tu canteresti"
"lui viene --> Condizionale Presente","lui verrebbe"
"tu fermi --> Condizionale Presente","tu fermeresti"
"tu avvii --> Condizionale Presente","tu avvieresti"
"lei causa --> Condizionale Presente","lei causerebbe"
"lui si lava --> Condizionale Presente","lui si laverebbe"
"lei mantiene --> Condizionale Presente","lei manterrebbe"
