"loro(f) viaggiano --> Congiuntivo Presente","che loro(f) viaggino"
"loro(f) seguono --> Congiuntivo Presente","che loro(f) seguano"
"voi scoprite --> Congiuntivo Presente","che voi scopriate"
"loro(m) sanno --> Congiuntivo Presente","che loro(m) sappiano"
"tu soddisfi --> Congiuntivo Presente","che tu soddisfi"
"io rispetto --> Congiuntivo Presente","che io rispetti"
"io produco --> Congiuntivo Presente","che io produca"
"voi vi preoccupate --> Congiuntivo Presente","che voi vi preoccupiate"
"lui aiuta --> Congiuntivo Presente","che lui aiuti"
"tu gestisci --> Congiuntivo Presente","che tu gestisca"
"loro(m) svolgono --> Congiuntivo Presente","che loro(m) svolgano"
"noi entriamo --> Congiuntivo Presente","che noi entriamo"
"tu ti metti --> Congiuntivo Presente","che tu ti metta"
"lei comprende --> Congiuntivo Presente","che lei comprenda"
"voi causate --> Congiuntivo Presente","che voi causiate"
"voi valutate --> Congiuntivo Presente","che voi valutiate"
"loro(m) sostituiscono --> Congiuntivo Presente","che loro(m) sostituiscano"
"tu stai --> Congiuntivo Presente","che tu stia"
"voi partite --> Congiuntivo Presente","che voi partiate"
"lui tace --> Congiuntivo Presente","che lui taccia"
"lui adotta --> Congiuntivo Presente","che lui adotti"
"tu discuti --> Congiuntivo Presente","che tu discuta"
"noi corriamo --> Congiuntivo Presente","che noi corriamo"
"voi preferite --> Congiuntivo Presente","che voi preferiate"
"io riconosco --> Congiuntivo Presente","che io riconosca"
"tu bevi --> Congiuntivo Presente","che tu beva"
"loro(f) aggiungono --> Congiuntivo Presente","che loro(f) aggiungano"
"lui salta --> Congiuntivo Presente","che lui salti"
"voi fermate --> Congiuntivo Presente","che voi fermiate"
"io distruggo --> Congiuntivo Presente","che io distrugga"
"lei elimina --> Congiuntivo Presente","che lei elimini"
"noi vinciamo --> Congiuntivo Presente","che noi vinciamo"
"loro(m) lasciano --> Congiuntivo Presente","che loro(m) lascino"
"io sono --> Congiuntivo Presente","che io sia"
"noi leggiamo --> Congiuntivo Presente","che noi leggiamo"
"tu devi --> Congiuntivo Presente","che tu deva"
"loro(f) identificano --> Congiuntivo Presente","che loro(f) identifichino"
"tu impari --> Congiuntivo Presente","che tu impari"
"io porto --> Congiuntivo Presente","che io porti"
"tu ringrazi --> Congiuntivo Presente","che tu ringrazi"
"io prendo --> Congiuntivo Presente","che io prenda"
"lui esegue --> Congiuntivo Presente","che lui esegua"
"tu includi --> Congiuntivo Presente","che tu includa"
"voi avete --> Congiuntivo Presente","che voi abbiate"
"tu muori --> Congiuntivo Presente","che tu muoia"
"lui realizza --> Congiuntivo Presente","che lui realizzi"
"tu verifichi --> Congiuntivo Presente","che tu verifichi"
"lei dà --> Congiuntivo Presente","che lei dia"
"io mi chiedo --> Congiuntivo Presente","che io mi chieda"
"lui piace --> Congiuntivo Presente","che lui piaccia"
"lui acquista --> Congiuntivo Presente","che lui acquisti"
"noi mangiamo --> Congiuntivo Presente","che noi mangiamo"
"io prevengo --> Congiuntivo Presente","che io prevenga"
"loro(m) effettuano --> Congiuntivo Presente","che loro(m) effettuino"
"io dimentico --> Congiuntivo Presente","che io dimentichi"
"loro(f) superano --> Congiuntivo Presente","che loro(f) superino"
"lui incontra --> Congiuntivo Presente","che lui incontri"
"tu fai --> Congiuntivo Presente","che tu faccia"
"voi passate --> Congiuntivo Presente","che voi passiate"
"lui sale --> Congiuntivo Presente","che lui salga"
"tu perdi --> Congiuntivo Presente","che tu perda"
"voi cominciate --> Congiuntivo Presente","che voi cominciate"
"loro(f) esprimono --> Congiuntivo Presente","che loro(f) esprimano"
"lei canta --> Congiuntivo Presente","che lei canti"
"lui richiede --> Congiuntivo Presente","che lui richieda"
"noi ci facciamo --> Congiuntivo Presente","che noi ci facciamo"
"loro(f) funzionano --> Congiuntivo Presente","che loro(f) funzionino"
"io determino --> Congiuntivo Presente","che io determini"
"loro(m) sopravvivono --> Congiuntivo Presente","che loro(m) sopravvivano"
"noi ci laviamo --> Congiuntivo Presente","che noi ci laviamo"
"loro(f) visitano --> Congiuntivo Presente","che loro(f) visitino"
"lei ottiene --> Congiuntivo Presente","che lei ottenga"
"io mi preparo --> Congiuntivo Presente","che io mi prepari"
"lei vive --> Congiuntivo Presente","che lei viva"
"lui crea --> Congiuntivo Presente","che lui crei"
"io dormo --> Congiuntivo Presente","che io dorma"
"voi rispondete --> Congiuntivo Presente","che voi rispondiate"
"lui utilizza --> Congiuntivo Presente","che lui utilizzi"
"tu cresci --> Congiuntivo Presente","che tu cresca"
"lui scende --> Congiuntivo Presente","che lui scenda"
"loro(m) si sbrigano --> Congiuntivo Presente","che loro(m) si sbrighino"
"noi teniamo --> Congiuntivo Presente","che noi teniamo"
"voi aumentate --> Congiuntivo Presente","che voi aumentiate"
"io capisco --> Congiuntivo Presente","che io capisca"
"lei si addormenta --> Congiuntivo Presente","che lei si addormenti"
"lui finisce --> Congiuntivo Presente","che lui finisca"
"noi rimuoviamo --> Congiuntivo Presente","che noi rimuoviamo"
